rank,ppm,es,lm,en
1833,43,desapareció,desaparecer,He disappeared
1834,43,empleo,empleoemplear,job
1835,43,llamé,llamar,I called
1836,43,conocen,conocer,They know
1837,43,cerdo,cerdo,pork
1838,43,puedan,poder,can
1839,43,comprendo,comprender,understand
1840,43,tomo,tomar,I take
1841,43,termina,terminar,ends
1842,43,aléjate,alejar,get away
1843,43,busco,buscar,I search
1844,43,contento,contento,glad
1845,43,date,dar,Date
1846,43,tumba,tumbatumbar,grave
1847,43,huellas,huella,footprints
1848,43,cuerpos,cuerpo,bodies
1849,43,absoluto,absoluto,absolute
1850,43,pide,pedir,asks
1851,43,dura,durodurar,hard
1852,43,descansar,descansar,rest
1853,43,respuestas,respuesta,answers
1854,43,propiedad,propiedad,property
1855,43,llamando,llamar,calling
1856,43,dormido,dormir,asleep
1857,42,castillo,castillo,castle
1858,42,china,chinoChina,China
1859,42,datos,dato,data
1860,42,torre,torre,tower
1861,42,robar,robar,Steal
1862,42,americanos,americano,American people
1863,42,malos,malo,bad
1864,42,botella,botella,bottle
1865,42,aquellos,aquellos,those
1866,42,últimamente,últimamente,lately
1867,42,testigo,testigo,witness
1868,42,presento,presentar,I present
1869,42,periódico,periódico,Newspaper
1870,42,juez,juez,judge
1871,42,historias,historia,stories
1872,42,gustaba,gustar,liked
1873,42,créeme,creer,trust me
1874,42,necesitar,necesitar,need
1875,42,esquina,esquina,corner
1876,42,millas,milla,miles
1877,42,llamadas,llamadallamar,calls
1878,42,fuente,fuente,font
1879,42,conocemos,conocer,We know
1880,42,techo,techotechar,the ceiling
1881,42,genio,genio,genius
1882,42,alerta,alerta,alert
1883,42,ideas,idea,Ideas
1884,42,tomas,tomatomar,Takes
1885,42,olvidar,olvidar,forget
1886,42,menor,menor,minor
1887,42,droga,droga,drug
1888,42,explicar,explicar,explain
1889,42,abierta,abiertoabrir,open
1890,42,privado,privadoprivar,private
1891,42,miembros,miembro,members
1892,42,nacional,nacional,national
1893,42,gustó,gustar,taste
1894,42,discutir,discutir,argue
1895,42,evidencia,evidencia,evidence
1896,42,detalles,detalle,details
1897,41,tardes,tardetardar,afternoon
1898,41,tomaré,tomar,I will take
1899,41,presente,presentepresentar,Present
1900,41,criminal,criminal,criminal
1901,41,premio,premio,reward
1902,41,vuelvas,volver,come back
1903,41,siéntese,sentar,sit down
1904,41,viniste,venir,did you come
1905,41,recibir,recibir,to receive
1906,41,mires,mirar,look
1907,41,teniendo,tener,having
1908,41,huele,oler,smells
1909,41,hables,hablar,You speak
1910,41,guardias,guardia,guards
1911,41,enamorado,enamoradoenamorar,loved
1912,41,cuidar,cuidar,look after
1913,41,pocos,poco,few
1914,41,perdone,perdonar,Forgive
1915,41,natural,natural,natural
1916,41,caballos,caballo,horses
1917,41,escucho,escuchar,I'm listening
1918,41,enfermera,enfermera,nurse
1919,41,ángel,ángel,Angel
1920,41,sospechoso,sospechoso,suspicious
1921,41,local,local,local
1922,41,mentiras,mentira,lies
1923,41,camisa,camisa,T-shirt
1924,41,confía,confiar,Trust
1925,41,aceptar,aceptar,to accept
1926,41,venganza,venganza,revenge
1927,41,perdimos,perder,We lost
1928,41,cuantos,cuanto,many
1929,41,parque,parque,park
1930,41,juegos,juego,games
1931,41,vives,vivir,do you live
1932,41,varias,varios,several
1933,41,harías,hacer,You would do
1934,41,menudo,menudo,often
1935,41,déjenme,dejar,leave me
1936,41,barrio,barrio,neighborhood
1937,41,virus,virus,virus
1938,41,talento,talento,talent
1939,41,ministro,ministro,Minister
1940,41,hiciera,hacer,made
1941,40,robó,robar,theft
1942,40,conocerte,conocer,know you
1943,40,viviendo,vivir,living
1944,40,responsabilidad,responsabilidad,responsibility
1945,40,respira,respirar,Breathe
1946,40,números,número,numbers
1947,40,pertenece,pertenecer,It belongs
1948,40,desayuno,desayunodesayunar,breakfast
1949,40,campeón,campeón,champion
1950,40,controlar,controlar,check
1951,40,maría,Maríamaría,Maria
1952,40,nieve,nieve,snow
1953,40,méxico,México,Mexico
1954,40,dias,día,days
1955,40,vergüenza,vergüenza,shame
1956,40,doctora,doctora,doctor
1957,40,blancos,blanco,White
1958,40,fumar,fumar,to smoke
1959,40,llevamos,llevar,we carry
1960,40,Europa,Europa,Europe
1961,40,dudo,dudar,I doubt
1962,40,pastel,pastel,pie
1963,40,quedas,quedar,You stay
1964,40,cae,caer,falls off
1965,40,vimos,ver,we saw
1966,40,recibido,recibir,received
1967,40,andando,andar,walking
1968,40,agentes,agente,Agents
1969,40,fueras,serir,You were
1970,40,asustado,asustadoasustar,afraid
1971,40,perdóname,perdonar,forgive me
1972,40,reino,reinoreinar,kingdom
1973,40,clave,clave,key code
1974,40,papeles,papel,papers
1975,40,matando,matar,killing
1976,40,efecto,efecto,effect
1977,40,plata,plata,silver
1978,40,olvidé,olvidar,forgot
1979,40,iban,ir,were going
1980,40,universo,universo,universe
1981,40,política,política,politics
1982,40,almuerzo,almuerzoalmorzar,lunch
1983,40,magia,magia,Magic
1984,40,lluvia,lluvia,rain
1985,40,humor,humor,humor
1986,40,autos,auto,cars
1987,40,veía,ver,I saw
1988,40,tantas,tanto,many
1989,40,respirar,respirar,breathe
1990,40,cantar,cantar,sing
1991,40,trabajas,trabajar,you work
1992,40,disparo,disparo,Shooting
1993,40,conversación,conversación,conversation
1994,40,olor,olor,smell
1995,40,asesinos,asesino,murderers
1996,39,muchacha,muchacha,girl
1997,39,modelo,modelo,model
1998,39,curso,curso,grade
1999,39,canal,canal,channel
2000,39,rock,rock,rock
